CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V13,13M2",1,111321870,111391001,127100000,139882999,131271000,131398830,132187000,138999999,De la Calle 132c  hasta la Calle 139 Impar,De la Cra 127  hasta la Cra 139z
"V13,13M3",1,111421003,111431010,127100000,140999999,131271000,131411001,142100000,143100999,De la Calle 142 Par hasta la Calle 143bis,De la Cra 127  hasta la Cra 141 Par
"V13,13M4",1,111391003,111421001,127100000,139882999,131271000,131398830,139100000,141999999,De la Calle 139 Par hasta la Calle 142 Impar,De la Cra 127  hasta la Cra 139z
"V13,14M1",1,111321000,111408830,147100000,151128999,131471000,131511291,132100000,140882999,De la Calle 132  hasta la Calle 140z,De la Cra 147  hasta la Cra 151a Par
"V13,14M1",1,111411000,111421010,147100000,153882999,131471000,131538830,141100000,142100999,De la Calle 141  hasta la Calle 142bis,De la Cra 147  hasta la Cra 153z
"V13,14M2",1,111311000,111421300,140100000,146882999,131401000,131468830,131100000,142129999,De la Calle 131  hasta la Calle 142abis,De la Cra 140  hasta la Cra 146z
"V13,15M1",1,111311000,111398830,155100000,160882999,131551000,131608830,131100000,139882999,De la Calle 131  hasta la Calle 139z,De la Cra 155  hasta la Cra 160z
"V13,15M2",1,111291000,111408830,151129000,154882999,131511293,131548830,129100000,140882999,De la Calle 129  hasta la Calle 140z,De la Cra 151a Impar hasta la Cra 154z
"V13,93M1",1,111301870,111318830,095100000,099999999,130951000,131001001,130187000,131882999,De la Calle 130c  hasta la Calle 131z,De la Cra 95  hasta la Cra 100 Par
"V13,93M2",1,111301870,111318830,091100000,094882999,130911000,130948830,130187000,131882999,De la Calle 130c  hasta la Calle 131z,De la Cra 91  hasta la Cra 94z
"V14, 0M1",1,111401003,111468830,001100000,008999999,130011000,130091001,140100000,146882999,De la Calle 140 Par hasta la Calle 146z,De la Cra 1  hasta la Cra 9 Par
"V14, 0M2",4,411411000,411468830,000100000,006100999,430001000,430061010,141100000,146882999,De la Calle 141  hasta la Calle 146z,De la Cra 0  hasta la Cra 6bis
"V14, 1M1",1,111401003,111468830,009100000,014999999,130091003,130151001,140100000,146882999,De la Calle 140 Par hasta la Calle 146z,De la Cra 9 Impar hasta la Cra 15 Par
"V14, 1M2",1,111401003,111468830,015100000,018999999,130151003,130191001,140100000,146882999,De la Calle 140 Par hasta la Calle 146z,De la Cra 15 Impar hasta la Cra 19 Par
"V14, 1M3",1,111401003,111468830,019100000,044999999,130191003,130451001,140100000,146882999,De la Calle 140 Par hasta la Calle 146z,De la Cra 19 Impar hasta la Cra 45 Par
"V14, 4M1",1,111381003,111398830,045100000,053882999,130451003,130538830,138100000,139882999,De la Calle 138 Par hasta la Calle 139z,De la Cra 45 Impar hasta la Cra 53z
"V14, 4M1",1,111401000,111468830,045100000,053882999,130451003,130538830,140100000,146882999,De la Calle 140  hasta la Calle 146z,De la Cra 45 Impar hasta la Cra 53z
"V14, 4M2",1,111471000,111518830,045100000,053882999,130451003,130538830,147100000,151882999,De la Calle 147  hasta la Calle 151z,De la Cra 45 Impar hasta la Cra 53z
"V14, 4M3",1,111381003,111518830,054100000,059882999,130541000,130598830,138100000,151882999,De la Calle 138 Par hasta la Calle 151z,De la Cra 54  hasta la Cra 59z
"V14, 7M1",1,111451000,111478830,072100000,085882999,130721003,130858830,145100000,147882999,De la Calle 145  hasta la Calle 147z,De la Cra 72 Impar hasta la Cra 85z
"V14, 7M2",1,111481000,111698830,072100000,085882999,130721003,130858830,148100000,169882999,De la Calle 148  hasta la Calle 169z,De la Cra 72 Impar hasta la Cra 85z
"V15, 0M1",1,111531003,111558830,001100000,008999999,130011000,130091001,153100000,155882999,De la Calle 153 Par hasta la Calle 155z,De la Cra 1  hasta la Cra 9 Par
"V15, 0M2",1,111561000,111598830,001100000,008999999,130011000,130091001,156100000,159882999,De la Calle 156  hasta la Calle 159z,De la Cra 1  hasta la Cra 9 Par
"V15, 0M3",1,111471000,111531001,001100000,008999999,130011000,130091001,147100000,152999999,De la Calle 147  hasta la Calle 153 Impar,De la Cra 1  hasta la Cra 9 Par
